Tweet Id,User Name,Nickname,Tweet content,tag1,tag2,tag3
721299870104072193,Laura P _,LaurettaP9,California Dreaming #coachella #coachella2016 #california #maybeoneday @ Coachella Valley MusicÉ https://t.co/UhQ159mCrT,#california,#maybeoneday,
721294163589750784,REDHOT-PR & -SOCIETY,REDHOTPRSOCIETY,#calm #before the #storm #bobzangrillo #party #coachella2016 #coachella #losangeles #LAÉ https://t.co/cDfGh3I8Mr,#party,#losangeles,
721290502931353601,Gab Faeldan,readyysetgab,Besame Mucho ___ #coachella #coachella2016 #love #coachellavalley #indio #instapic @ Empire Polo https://t.co/h7Rq0pAWEy,#love,#indio,
721285118178885633,Ana Gabriela Ledo,anagabrielaledo,#GnFnR ____ #coachella #readyfortomorrow #soundcheck @ Coachella VIPÉ https://t.co/XMvYkNoSjI,#soundcheck,#readyfortomorrow,
721284423900114944,Eva Crawford,grooveva,Oh James Murphy I love you so! :D #latergram #coachella2016 #coachella #lcdsoundsystem @ EmpireÉ https://t.co/cz4o8OFYPb,#lcdcoundsystem,#latergram,
721283805198176258,Chiara Biasi,chiarabiasi,reunited ___ #marcocarola #COACHELLA #coachella2016 #indio #lalaland @ Coachella https://t.co/lQDiPV6nIq,#indio,#lalaland,
721283417812430849,Chiara Biasi,chiarabiasi,reunited ___ #marcocarola #COACHELLA #coachella2016 #indio #lalaland @ Coachella https://t.co/lQDiPUOMQS,#indio,#lalaland,
721278246659190784,Sahar Sokhandan,saharmelisa,"Come as you are, as you were... #coachella #palmsprings #birthdayweekendÉ https://t.co/Q2BSW8at0p",#palmsprings,#birthdayweekend,
721278068460007426,All Access*Lifestyle,Marv8,#coachellafest #hotlinebling #target #allaccesslifestyle #octobersveryown #coachella2016 #indioÉ https://t.co/TnODtpRrZc,#target,#octobersveryown,
721277762816897024,jill fitzpatrick,fitzj,Yup we became these people today #coachella #bandanabandit #palmsprings #spiritualgangster @É https://t.co/PY9XrZMRrD,#palmsprings,#spiritualgangster,
